,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
120,F.N,"Lil Tjay",813572,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
121,goosebumps,"Travis Scott",811418,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"Girls Like You (feat. Cardi B)","Maroon 5",811331,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
123,"Only Human","Jonas Brothers",810668,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
124,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,810637,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
125,"Con Calma","Daddy Yankee",809386,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
126,Outnumbered,"Dermot Kennedy",805425,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
127,"boyfriend (with Social House)","Ariana Grande",803933,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
128,Lover,"Taylor Swift",798780,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
129,Suge,DaBaby,797731,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
130,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",796324,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
131,"Hollywood's Bleeding","Post Malone",796139,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
132,"Talk (feat. Disclosure)",Khalid,794907,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
133,"3 Nights","Dominic Fike",789180,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
134,"Wieso tust Du dir das an?","Apache 207",788904,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
135,"Eastside (with Halsey & Khalid)","benny blanco",781595,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
136,"Everything We Need","Kanye West",779406,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
137,"Te Quemaste","Manuel Turizo",777839,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
138,"Supera - Ao Vivo","Marília Mendonça",771448,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
139,"Gaiola É o Troco","MC Du Black",768291,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
140,"Alocao (With Bad Gyal)","Omar Montes",762405,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
141,Perfect,"Ed Sheeran",755482,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
142,"Make No Sense","YoungBoy Never Broke Again",754755,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
143,Goteo,Duki,745775,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
144,"Say You Won't Let Go","James Arthur",745134,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
145,"Did It Again","Lil Tecca",744460,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
146,"Use This Gospel","Kanye West",744329,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
147,"Baby (Lil Baby feat. DaBaby)","Quality Control",743299,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
148,"Better Now","Post Malone",741372,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
149,"Old Town Road","Lil Nas X",738077,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
150,SAD!,XXXTENTACION,736357,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"You Need To Calm Down","Taylor Swift",733187,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
152,"Calma - Remix","Pedro Capó",732633,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
153,"Don't Stop Me Now - Remastered",Queen,732514,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
154,"One Thing Right",Marshmello,722229,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
155,"Another One Bites The Dust - Remastered 2011",Queen,712996,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
156,Youngblood,"5 Seconds of Summer",712157,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
157,"Some que ele vem atrás",Anitta,709778,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
158,"Ballin' (feat. Roddy Ricch)",Mustard,708298,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
159,"Si Se Da - Remix","Myke Towers",707625,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
160,"Hit Contagiante","Felipe Original",703764,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
161,"Let Me Down Slowly","Alec Benjamin",700915,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
162,Thunder,"Imagine Dragons",699574,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
163,"I Like Me Better",Lauv,698972,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
164,"Good As Hell",Lizzo,698025,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
165,"Hot Shower","Chance the Rapper",695151,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
166,"MIDDLE CHILD","J. Cole",690741,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
167,"Never Really Over","Katy Perry",688786,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
168,"Behind Barz - Bonus",Drake,688206,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
169,"Be Alright","Dean Lewis",687700,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
170,"High Hopes","Panic! At The Disco",685799,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
171,comethru,"Jeremy Zucker",683259,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
172,"All I Want for Christmas Is You","Mariah Carey",682522,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
173,110,"Capital Bra",682376,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
174,Moonlight,XXXTENTACION,682123,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
175,"200 km/h","Apache 207",681838,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
176,Atrévete,"Nicky Jam",681088,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
177,"Pop Out (feat. Lil Tjay)","Polo G",679402,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
178,"Love Me More","Trippie Redd",678998,https://open.spotify.com/track/2NSWi83peog6gHerzlMCqU
179,"Cuerpo en Venta",Noriel,677383,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
180,"Otro Trago",Sech,676987,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
181,"What Am I","Why Don't We",676923,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G
182,Bellaquita,Dalex,675913,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
183,"Bad Bad Bad (feat. Lil Baby)","Young Thug",675125,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
184,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",674696,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
185,"bury a friend","Billie Eilish",671694,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
186,"Under Pressure - Remastered",Queen,668638,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
187,"Get You The Moon (feat. Snøw)",Kina,665845,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
188,2002,Anne-Marie,665205,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
189,"Love Me","Lil Tecca",664023,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
